attempt,error_angle_degrees
1,-4.458995525145724
2,-1.3574658445306227
3,-4.009501541439249
4,
5,2.6630007660671424
6,-0.6836880679403521
7,-2.8024515198667643
8,-1.4826185796703442
9,-3.814074834290352
10,-3.0688636100986173
11,-1.7899106082460605
12,-1.6365770416167322
13,-4.763641690726189
14,-3.209486317791999
15,-3.179830119864249
16,-3.476312749201128
17,-5.073704730062985
18,0.4102253016835107
19,-1.3704510177996099
20,-2.1309528871049395
21,9.490024815660561
22,
23,8.535055149755948
24,5.342176188569937
25,0.11894360708527074
26,0.49300016930689594
27,0.5135941504125299
28,0.1697301231851327
29,-0.8219355852931187
30,0.867618872434349
31,-1.4360935605221528
32,0.5971789944163106
33,-0.9637565320735177
34,0.49300016930689594
35,-0.9167927888920246
36,0.4221613187386595
37,1.808691626206837
38,1.0258674484497305
39,1.0515482195085895
40,2.211115275353336
41,0.6795241224192239
42,0.7848289802662975
43,0.544919341404352
44,0.44141824592520607
45,3.257563075389726
46,3.608396666989961
47,0.8380000013695508
48,0.49300016930689594
49,-0.5846336649154864
50,
51,-0.0183674276090926
52,0.1858372622013178
53,-1.1940437948700833
54,0.5663178248567817
55,-0.24640111887572402
56,0.49300016930689594
57,0.5663178248567817
58,0.13427813001877098
59,-1.704808556068599
60,
61,3.492999238229089
62,
63,1.2133816899859653
64,-2.632531616647583
65,-0.24640111887572402
66,-1.4295656148385092
67,0.3241081694312129
68,
69,0.054316559604814074
70,-0.5950035897166686
71,1.628661233649666
72,0.9193878321176499
73,-0.055892726939731574
74,
75,0.5135941504125299
76,-1.151150073248857
77,2.2537599095953453
78,1.6992442339935963
79,0.7027328739183076
80,1.0258674484497305
81,
82,-12.615444406498426
83,-5.339236803737606
84,-10.007979801441337
85,-1.2364076028561328
86,15.255118703057775
87,-1.3639275316029114
88,-0.27813266729637576
89,
90,11.618524352794637
91,
92,4.216942829168573
93,5.026967816064996
94,-0.9617093298587633
95,
96,0.0
97,3.8493663478518556
98,-1.8647852593390155
99,0.13674384421807417
100,0.5562522270806767
101,8.886499921634737
102,3.792298323486051
103,0.18845697686788299
104,0.27230915544117806
105,
106,2.4879973761485132
107,-2.632531616647583
108,0.3241081694312129
109,0.9983005761118591
110,0.5755804219260199
111,-2.4105404650422884
112,1.2133816899859653
113,
114,4.715738643325778
115,-1.8659776936036963
116,0.6055982726754507
117,-2.145882631011091
118,
119,
120,
121,2.365234923637928
122,1.7359958514760478
123,
124,-0.8708194205354118
125,
126,
127,
128,
129,-1.4360935605221528
130,
131,0.9983005761118591
132,-0.16803297933424233
133,
134,1.6622195027897817
135,1.5319306227468132
136,3.778033222445515
137,0.7560337685828245
138,
139,5.772254682045798
140,-0.5417821521555766
141,4.031758274151173
142,3.954231699511155
143,3.3210408626288768
144,2.4319326023469614
145,0.9193878321176499
146,0.6795241224192239
147,0.3241081694312129
148,0.8915211828907843
149,-0.5846336649154864
150,-2.187451804167722
151,0.6795241224192239
152,0.5038687154861918
153,-0.7258186161965625
154,-0.677280021796463
155,2.1567560907227517
156,-1.8907918018457224
157,1.808691626206837
158,1.7914188319415416
159,1.6485250561707403
160,
