attempt,target_angle_degrees
2,130.0
3,130.0
4,130.0
5,130.0
8,130.0
14,130.0
21,130.0
24,130.0
25,130.0
26,130.0
27,130.0
28,130.0
29,130.0
31,130.0
32,130.0
33,130.0
34,130.0
37,130.0
38,130.0
39,130.0
40,130.0
41,130.0
42,130.0
43,130.0
44,130.0
45,130.0
47,130.0
48,130.0
49,130.0
50,130.0
51,130.0
53,130.0
54,130.0
56,130.0
57,130.0
58,130.0
59,130.0
60,130.0
61,130.0
62,130.0
63,130.0
64,130.0
65,130.0
66,130.0
68,130.0
69,130.0
72,130.0
73,130.0
74,130.0
75,130.0
76,130.0
77,130.0
78,130.0
79,130.0
81,130.0
92,130.0
95,130.0
96,130.0
97,130.0
98,130.0
100,130.0
101,130.0
102,130.0
103,130.0
104,130.0
105,130.0
106,130.0
109,130.0
112,130.0
116,130.0
117,130.0
121,180.0
122,180.0
123,180.0
124,180.0
125,180.0
126,180.0
127,180.0
128,180.0
129,180.0
131,180.0
133,180.0
135,180.0
137,180.0
139,180.0
140,180.0
141,180.0
142,180.0
143,180.0
144,180.0
145,180.0
146,180.0
147,180.0
149,180.0
150,180.0
151,180.0
152,180.0
153,180.0
154,180.0
155,180.0
156,180.0
157,180.0
158,180.0
159,180.0
161,180.0
162,180.0
163,180.0
164,180.0
165,180.0
166,180.0
167,180.0
168,180.0
169,180.0
170,180.0
172,180.0
173,180.0
174,180.0
175,180.0
176,180.0
177,180.0
178,180.0
179,180.0
180,180.0
182,130.0
183,130.0
184,130.0
187,130.0
188,130.0
190,130.0
192,130.0
194,130.0
196,130.0
197,130.0
198,130.0
199,130.0
201,130.0
202,130.0
203,130.0
205,130.0
207,130.0
208,130.0
209,130.0
210,130.0
211,130.0
212,130.0
213,130.0
214,130.0
215,130.0
216,130.0
218,130.0
221,130.0
222,130.0
224,130.0
225,130.0
226,130.0
227,130.0
228,130.0
229,130.0
230,130.0
231,130.0
232,130.0
233,130.0
234,130.0
235,130.0
236,130.0
237,130.0
238,130.0
239,130.0
240,130.0
242,130.0
243,130.0
244,130.0
245,130.0
246,130.0
247,130.0
248,130.0
249,130.0
250,130.0
251,130.0
252,130.0
253,130.0
255,130.0
256,130.0
258,130.0
259,130.0
260,130.0
261,130.0
262,130.0
263,130.0
264,130.0
265,130.0
266,130.0
267,130.0
268,130.0
269,130.0
270,130.0
271,130.0
272,130.0
273,130.0
274,130.0
275,130.0
276,130.0
277,130.0
278,130.0
279,130.0
280,130.0
281,130.0
282,130.0
283,130.0
284,130.0
285,130.0
292,130.0
295,130.0
298,130.0
299,130.0
300,130.0
