attempt,circle_angle_degrees
2,-136.98404883414474
5,-141.3989566273689
6,-139.07625625407985
8,-137.7766035239023
11,-137.52416575277428
13,-137.75122761747713
14,-137.25875546131363
15,-137.3970285300596
16,-137.91532211664253
17,-137.3532968661083
19,-137.63849182541122
21,-128.19859051364818
22,-132.62378490028078
23,-132.8563357346169
25,-130.621995944607
27,-127.12094505542531
29,-132.56806739765304
30,-127.16634582208248
31,-130.9133175763201
32,-132.56806739765304
34,-132.62378490028078
35,-129.37834895468444
37,-132.77656380886856
38,-130.44636518105497
39,-131.565051177078
41,-131.39333606827702
42,-133.41990902756535
44,-132.77656380886856
46,-132.0405239095259
50,-130.3209743691215
51,-131.97388262434853
53,-133.3365209171121
56,-133.15782926605544
58,-132.56806739765304
59,-132.21949163986585
61,-132.0405239095259
63,-132.34169300670177
64,-132.92475761051958
65,-132.69067656747424
66,-134.0041676864771
68,-133.11966983447616
69,-129.9523530610013
70,-132.5120026238515
72,-133.0490658527401
74,-132.62378490028078
75,-132.81429385577525
76,-133.62093996208267
79,-131.98239078530997
82,-129.68545433005525
83,-138.30440189591593
84,-142.9434718105904
86,-136.71968003906986
87,-137.24833314235093
88,-137.52416575277428
89,-143.16784660397477
90,-137.13095288710494
91,-137.94252045636864
92,-142.14107908453738
96,-142.9034887190255
97,-137.61442959659544
102,-115.20923407606075
103,-115.79049267557318
104,-133.51554681046434
105,-131.68246039698704
106,-132.7341905049854
107,-130.12996647948432
108,-131.2681845097533
109,-133.33534421910204
110,-133.14160123226173
111,-132.92475761051958
112,-130.50848649788338
116,-132.92475761051958
117,-133.51554681046434
121,-131.38803079436045
123,-130.97439396243132
129,-131.10018689881653
131,-132.9108740172811
133,-132.44645517366015
135,-133.14160123226173
141,-131.98239078530997
142,-132.99417126631946
144,-133.03385189146383
145,-133.0189466421869
147,-132.67915824391656
155,-133.56840772524953
158,-131.565051177078
